h_mean,s_mean,v_mean,contrast,correlation,energy,homogeneity,label
146.63525564803805,43.142092746730086,180.2678359096314,252.0429522081065,0.9697486821250398,0.021201692569721788,0.1498056905069416,male
14.199762187871581,107.11444708680143,185.7898335315101,450.35813672111317,0.8947398702796064,0.02207070338409522,0.1347268373912489,male
25.7461355529132,79.69649227110583,160.72502972651606,319.52752571082885,0.9316510400080942,0.018014729484970477,0.1191728990459307,male
15.461058263971463,89.05053507728894,144.45749108204518,243.67029643073204,0.9590180770511844,0.020220985981074736,0.14164110032220512,male
18.197086801426874,131.65606420927466,151.90992865636147,364.2241379310345,0.9570147006295356,0.020384347299079654,0.13818909456489298,male
20.802615933412604,79.18608799048752,159.442033293698,186.31427707199032,0.9491606593082922,0.01870370732422256,0.11083084202461249,male
28.29845422116528,103.30737217598097,159.46611177170035,321.1811857229281,0.952330479237824,0.017409050866940924,0.12463349910435315,male
18.10820451843044,71.79250891795482,134.30410225921523,147.83424077434964,0.9649641762604207,0.0193799981604856,0.1217428458777821,male
31.597502972651604,93.70570749108205,143.85463733650417,146.6823956442831,0.9673445366080441,0.02080198436723711,0.1632438055797617,male
45.69441141498216,69.01991676575506,170.32223543400713,250.79612825166367,0.9518392159362239,0.017733192023109322,0.11231407104989143,male
9.58026159334126,99.02259215219976,153.07282996432818,366.56987295825763,0.9497564694126404,0.015998608035823217,0.08659765579275007,female
25.0,107.69054696789536,178.69678953626635,414.93557168784025,0.9375467461663606,0.019620461261741967,0.12102488843972087,female
37.132877526753866,108.73751486325803,153.1126634958383,179.75075620084695,0.9725950583372339,0.01927941437383842,0.13704781815429617,female
25.768727705112962,95.62158145065398,132.5463733650416,947.9776164549304,0.9289698002376566,0.05041948944748867,0.16582569151175428,female
16.76843043995244,118.93757431629012,164.40041617122472,826.7235329703568,0.8971341185845381,0.015625385987044067,0.07103448671040424,female
13.752080856123662,77.42122473246135,149.99702734839477,239.3548094373866,0.933647132312166,0.025967545107483066,0.17326626025988878,female
54.195303210463734,104.03923900118906,144.2526753864447,214.90562613430131,0.8608320390143867,0.028429129215645266,0.18636974582707708,female
35.26397146254459,143.47592152199763,97.90071343638526,139.76830006049605,0.977748943190128,0.036822555574925,0.22214818883360282,female
18.158145065398337,99.62782401902497,147.50475624256836,420.3290986085904,0.9322279530656497,0.024664670456014743,0.18052619879767418,female
19.564803804994053,90.7782401902497,128.57966706302022,235.03297035692682,0.9646392530842999,0.022660804694149574,0.13711977447528828,female
